system:time_start,NDVI
"Apr 29, 2017",0.263
"Jul 13, 2017",0.217
"Feb 13, 2019",0.256
"Feb 18, 2019",0.292
"Feb 18, 2019",0.257
"Feb 23, 2019",0.292
"Feb 23, 2019",0.258
"Mar 5, 2019",0.268
"Mar 10, 2019",0.284
"Mar 25, 2019",0.288
"Mar 25, 2019",0.26
"Mar 30, 2019",0.265
"Mar 30, 2019",0.237
"Apr 9, 2019",0.266
"Apr 24, 2019",0.252
"May 4, 2019",0.262
"May 14, 2019",0.265
"May 24, 2019",0.276
"May 29, 2019",0.28
"May 29, 2019",0.266
"Jun 23, 2019",0.268
"Jul 3, 2019",0.235
"Jul 8, 2019",0.246
"Jul 13, 2019",0.246
"Jul 18, 2019",0.236
"Jul 23, 2019",0.241
"Sep 21, 2019",0.218
"Sep 26, 2019",0.212
"Jan 4, 2020",0.245
"Feb 13, 2020",0.272
"Feb 23, 2020",0.274
"Feb 23, 2020",0.246
"Feb 28, 2020",0.265
"Mar 4, 2020",0.283
"Mar 14, 2020",0.278
"Mar 19, 2020",0.291
"Mar 19, 2020",0.265
"Mar 24, 2020",0.279
"Mar 24, 2020",0.256
"Mar 29, 2020",0.288
"Apr 3, 2020",0.275
"Apr 3, 2020",0.253
"Apr 8, 2020",0.267
"Apr 13, 2020",0.264
"Apr 18, 2020",0.279
"Apr 18, 2020",0.261
"Apr 28, 2020",0.283
"Apr 28, 2020",0.267
"May 8, 2020",0.264
"May 18, 2020",0.27
"May 18, 2020",0.259
"May 23, 2020",0.267
"May 28, 2020",0.253
"Jun 12, 2020",0.249
"Jun 12, 2020",0.241
"Jun 17, 2020",0.239
"Jun 17, 2020",0.24
"Jun 22, 2020",0.242
"Jun 27, 2020",0.245
"Jul 2, 2020",0.242
"Jul 7, 2020",0.234
"Jul 22, 2020",0.207
"Aug 11, 2020",0.183
"Sep 25, 2020",0.184
"Oct 5, 2020",0.185
"Oct 15, 2020",0.193
"Dec 24, 2020",0.212
"Jan 3, 2021",0.251
"Jan 3, 2021",0.238
"Mar 9, 2021",0.268
"Mar 9, 2021",0.244
"Mar 14, 2021",0.248
"Mar 24, 2021",0.283
"Apr 23, 2021",0.27
"Apr 23, 2021",0.256
"May 3, 2021",0.262
"May 8, 2021",0.264
"May 13, 2021",0.25
"May 18, 2021",0.264
"Jun 17, 2021",0.255
"Jun 17, 2021",0.255
"Jul 2, 2021",0.253
"Jul 22, 2021",0.236
"Jul 27, 2021",0.221
"Oct 5, 2021",0.19
"Dec 29, 2021",0.259
"Jan 13, 2022",0.243
"Jan 18, 2022",0.259
"Jan 18, 2022",0.236
"Jan 28, 2022",0.206
"Feb 2, 2022",0.231
"Feb 2, 2022",0.21
"Feb 7, 2022",0.25
"Feb 7, 2022",0.229
"Feb 12, 2022",0.254
"Feb 12, 2022",0.233
"Feb 17, 2022",0.241
"Feb 22, 2022",0.252
"Feb 22, 2022",0.237
"Feb 27, 2022",0.226
"Feb 27, 2022",0.221
"Mar 9, 2022",0.242
"Mar 14, 2022",0.245
"Mar 14, 2022",0.227
"Mar 19, 2022",0.277
"Mar 19, 2022",0.252
"Mar 24, 2022",0.269
"Mar 24, 2022",0.252
"Mar 29, 2022",0.254
"Mar 29, 2022",0.245
"Apr 3, 2022",0.252
"Apr 3, 2022",0.242
"Apr 8, 2022",0.255
"Apr 8, 2022",0.243
"Apr 13, 2022",0.257
"Apr 13, 2022",0.245
"Apr 18, 2022",0.255
"Apr 18, 2022",0.245
"Apr 23, 2022",0.24
"Apr 23, 2022",0.231
"May 3, 2022",0.238
"May 3, 2022",0.23
"May 8, 2022",0.249
"May 8, 2022",0.24
"May 13, 2022",0.247
"May 13, 2022",0.247
"May 18, 2022",0.216
"May 23, 2022",0.228
"May 23, 2022",0.226
"May 28, 2022",0.223
"May 28, 2022",0.226
"Jun 2, 2022",0.222
"Jun 2, 2022",0.222
"Jun 7, 2022",0.226
"Jun 7, 2022",0.227
"Jun 12, 2022",0.228
"Jun 17, 2022",0.217
"Jun 17, 2022",0.223
"Jun 22, 2022",0.21
"Jun 22, 2022",0.216
"Jul 2, 2022",0.207
"Jul 12, 2022",0.197
"Jul 12, 2022",0.211
"Jul 17, 2022",0.198
"Jul 27, 2022",0.171
"Aug 1, 2022",0.181
"Aug 1, 2022",0.2
"Aug 6, 2022",0.189
"Aug 6, 2022",0.202
"Aug 11, 2022",0.184
"Aug 11, 2022",0.201
"Aug 16, 2022",0.184
"Aug 21, 2022",0.179
"Aug 26, 2022",0.178
"Aug 31, 2022",0.164
"Aug 31, 2022",0.182
"Sep 5, 2022",0.172
"Sep 10, 2022",0.165
"Sep 10, 2022",0.181
"Sep 20, 2022",0.166
"Sep 20, 2022",0.184
"Sep 25, 2022",0.169
"Oct 5, 2022",0.165
"Oct 10, 2022",0.167
"Oct 15, 2022",0.168
"Oct 20, 2022",0.164
"Oct 20, 2022",0.181
"Oct 25, 2022",0.171
"Oct 25, 2022",0.186
"Oct 30, 2022",0.168
"Oct 30, 2022",0.185
"Nov 4, 2022",0.173
"Nov 4, 2022",0.188
"Nov 9, 2022",0.169
"Nov 9, 2022",0.182
"Nov 14, 2022",0.182
"Nov 14, 2022",0.191
"Nov 19, 2022",0.18
"Nov 19, 2022",0.19
"Nov 29, 2022",0.184
"Nov 29, 2022",0.188
"Dec 4, 2022",0.192
"Dec 14, 2022",0.191
"Dec 19, 2022",0.193
"Dec 19, 2022",0.191
"Dec 24, 2022",0.218
"Dec 24, 2022",0.212
"Dec 29, 2022",0.219
"Dec 29, 2022",0.213
"Jan 8, 2023",0.225
"Jan 8, 2023",0.217
"Jan 13, 2023",0.229
"Jan 13, 2023",0.218
"Jan 18, 2023",0.221
"Jan 18, 2023",0.213
"Jan 23, 2023",0.217
"Jan 23, 2023",0.205
"Jan 28, 2023",0.177
"Feb 12, 2023",0.274
"Feb 12, 2023",0.258
"Feb 17, 2023",0.26
"Feb 17, 2023",0.25
"Feb 22, 2023",0.27
"Feb 22, 2023",0.248
"Feb 27, 2023",0.274
"Feb 27, 2023",0.255
"Mar 4, 2023",0.272
"Mar 4, 2023",0.247
"Mar 9, 2023",0.258
"Mar 9, 2023",0.234
"Mar 19, 2023",0.265
"Mar 24, 2023",0.267
"Mar 29, 2023",0.272
"Mar 29, 2023",0.253
"Apr 3, 2023",0.262
"Apr 3, 2023",0.248
"Apr 8, 2023",0.287
"Apr 8, 2023",0.279
"Apr 13, 2023",0.262
"Apr 13, 2023",0.254
"Apr 18, 2023",0.252
"Apr 18, 2023",0.241
"Apr 23, 2023",0.25
"Apr 23, 2023",0.241
"Apr 28, 2023",0.257
"Apr 28, 2023",0.25
"May 3, 2023",0.244
"May 8, 2023",0.247
"May 8, 2023",0.242
"May 13, 2023",0.266
"May 18, 2023",0.246
"May 18, 2023",0.245
"May 23, 2023",0.239
"May 23, 2023",0.242
"Jun 2, 2023",0.237
"Jun 2, 2023",0.246
"Jun 7, 2023",0.23
"Jun 7, 2023",0.236
"Jun 12, 2023",0.225
"Jun 12, 2023",0.234
"Jun 17, 2023",0.224
"Jun 17, 2023",0.232
"Jun 22, 2023",0.214
"Jun 22, 2023",0.227
"Jun 27, 2023",0.215
"Jul 2, 2023",0.201
"Jul 2, 2023",0.221
"Jul 7, 2023",0.19
"Jul 7, 2023",0.209
"Jul 12, 2023",0.2
"Jul 12, 2023",0.215
"Jul 22, 2023",0.19
"Jul 22, 2023",0.21
"Jul 27, 2023",0.183
"Jul 27, 2023",0.204
"Aug 1, 2023",0.185
"Aug 1, 2023",0.217
"Aug 6, 2023",0.178
"Aug 6, 2023",0.201
"Aug 11, 2023",0.104
"Aug 11, 2023",0.122
"Aug 16, 2023",0.175
"Aug 16, 2023",0.195
"Aug 21, 2023",0.181
"Aug 26, 2023",0.166
"Aug 26, 2023",0.191
"Aug 31, 2023",0.172
"Aug 31, 2023",0.197
"Sep 5, 2023",0.176
"Sep 5, 2023",0.199
"Sep 10, 2023",0.177
"Sep 15, 2023",0.173
"Sep 15, 2023",0.195
"Sep 20, 2023",0.168
"Sep 20, 2023",0.191
"Sep 25, 2023",0.163
"Sep 25, 2023",0.184
"Sep 30, 2023",0.172
"Sep 30, 2023",0.19
"Oct 5, 2023",0.169
"Oct 5, 2023",0.19
"Oct 10, 2023",0.176
"Oct 10, 2023",0.195
"Oct 15, 2023",0.172
"Oct 15, 2023",0.19
"Oct 20, 2023",0.173
"Oct 20, 2023",0.188
"Oct 25, 2023",0.184
"Oct 25, 2023",0.198
"Oct 30, 2023",0.181
"Oct 30, 2023",0.192
"Nov 4, 2023",0.187
"Nov 4, 2023",0.198
"Nov 9, 2023",0.194
"Nov 14, 2023",0.21
"Nov 14, 2023",0.214
"Nov 19, 2023",0.216
"Nov 19, 2023",0.22
"Nov 29, 2023",0.224
"Nov 29, 2023",0.223
"Dec 4, 2023",0.223
"Dec 4, 2023",0.222
"Dec 9, 2023",0.22
"Dec 9, 2023",0.212
"Dec 14, 2023",0.208
"Dec 19, 2023",0.23
"Dec 19, 2023",0.219
"Dec 24, 2023",0.235
"Dec 24, 2023",0.227
"Dec 29, 2023",0.222
"Dec 29, 2023",0.203
"Jan 3, 2024",0.236
"Jan 3, 2024",0.23
"Jan 8, 2024",0.241
"Jan 8, 2024",0.233
"Jan 13, 2024",0.239
"Jan 13, 2024",0.216
"Jan 18, 2024",0.266
"Jan 23, 2024",0.25
"Jan 23, 2024",0.234
"Jan 28, 2024",0.244
"Jan 28, 2024",0.231
"Feb 2, 2024",0.255
"Feb 2, 2024",0.233
"Feb 7, 2024",0.26
"Feb 17, 2024",0.262
"Feb 22, 2024",0.239
"Feb 27, 2024",0.243
"Mar 3, 2024",0.22
"Mar 8, 2024",0.246
"Mar 13, 2024",0.225
"Mar 23, 2024",0.237
"Mar 23, 2024",0.231
"Mar 28, 2024",0.233
"Apr 2, 2024",0.247
"Apr 2, 2024",0.24
"Apr 7, 2024",0.246
"Apr 7, 2024",0.237
"Apr 12, 2024",0.24
"Apr 12, 2024",0.232
"Apr 17, 2024",0.287
"Apr 17, 2024",0.278
"Apr 22, 2024",0.26
"Apr 22, 2024",0.255
"Apr 27, 2024",0.259
"Apr 27, 2024",0.256
"May 2, 2024",0.247
"May 2, 2024",0.243
"May 7, 2024",0.255
"May 7, 2024",0.251
"May 12, 2024",0.253
"May 12, 2024",0.252
"May 22, 2024",0.25
"May 22, 2024",0.253
"May 27, 2024",0.249
"May 27, 2024",0.253
"Jun 1, 2024",0.243
"Jun 1, 2024",0.248
"Jun 6, 2024",0.237
"Jun 6, 2024",0.248
"Jun 11, 2024",0.232
"Jun 11, 2024",0.243
"Jun 16, 2024",0.231
"Jun 16, 2024",0.241
"Jun 21, 2024",0.219
"Jun 21, 2024",0.232
"Jun 26, 2024",0.191
"Jun 26, 2024",0.21
"Jul 1, 2024",0.217
"Jul 1, 2024",0.236
"Jul 6, 2024",0.202
"Jul 6, 2024",0.221
"Jul 11, 2024",0.217
"Jul 11, 2024",0.236
"Jul 16, 2024",0.206
"Jul 21, 2024",0.167
"Jul 26, 2024",0.195
"Jul 26, 2024",0.219
"Jul 31, 2024",0.186
"Jul 31, 2024",0.213
"Aug 5, 2024",0.184
"Aug 5, 2024",0.21
"Aug 10, 2024",0.184
"Aug 15, 2024",0.177
"Aug 15, 2024",0.204
"Aug 25, 2024",0.182
"Aug 30, 2024",0.174
"Aug 30, 2024",0.199
"Sep 4, 2024",0.175
"Sep 4, 2024",0.199
"Sep 9, 2024",0.174
"Sep 14, 2024",0.169
"Sep 14, 2024",0.194
"Sep 19, 2024",0.163
"Sep 19, 2024",0.188
"Sep 24, 2024",0.195
"Sep 29, 2024",0.169
"Sep 29, 2024",0.192
"Oct 4, 2024",0.176
"Oct 4, 2024",0.194
"Oct 9, 2024",0.17
"Oct 9, 2024",0.191
"Oct 14, 2024",0.174
"Oct 14, 2024",0.187
"Oct 19, 2024",0.183
"Oct 29, 2024",0.174
"Oct 29, 2024",0.189
"Nov 3, 2024",0.184
"Nov 3, 2024",0.195
"Nov 8, 2024",0.189
"Nov 8, 2024",0.201
"Nov 13, 2024",0.196
"Nov 13, 2024",0.197
"Nov 28, 2024",0.161
"Dec 3, 2024",0.214
"Dec 13, 2024",0.233
"Dec 13, 2024",0.223
"Dec 18, 2024",0.225
"Dec 18, 2024",0.215
"Dec 23, 2024",0.231
"Dec 23, 2024",0.22
"Dec 28, 2024",0.234
"Dec 28, 2024",0.225
"Jan 2, 2025",0.241
"Jan 2, 2025",0.216
"Jan 12, 2025",0.242
"Jan 12, 2025",0.221
"Jan 17, 2025",0.228
"Jan 22, 2025",0.249
"Jan 22, 2025",0.219
"Jan 27, 2025",0.242
"Jan 27, 2025",0.231
"Feb 1, 2025",0.244
"Feb 1, 2025",0.223
"Feb 6, 2025",0.242
"Feb 6, 2025",0.226
"Feb 21, 2025",0.231
"Feb 21, 2025",0.223
"Feb 26, 2025",0.261
"Mar 8, 2025",0.257
"Mar 8, 2025",0.234
"Mar 13, 2025",0.254
"Mar 13, 2025",0.233
"Mar 18, 2025",0.239
"Mar 18, 2025",0.229
"Mar 20, 2025",0.245
"Mar 20, 2025",0.234
"Mar 23, 2025",0.246
"Mar 23, 2025",0.237
"Mar 28, 2025",0.227
"Mar 28, 2025",0.217
"Apr 2, 2025",0.206
"Apr 2, 2025",0.198
"Apr 7, 2025",0.246
"Apr 7, 2025",0.237
"Apr 12, 2025",0.246
"Apr 12, 2025",0.237
"Apr 17, 2025",0.242
"Apr 19, 2025",0.243
"Apr 19, 2025",0.237
"Apr 22, 2025",0.236
"Apr 27, 2025",0.249
"Apr 27, 2025",0.247
"May 7, 2025",0.241
"May 7, 2025",0.239
"May 12, 2025",0.236
"May 12, 2025",0.237
"May 17, 2025",0.222
"May 17, 2025",0.221
"May 22, 2025",0.235
"May 22, 2025",0.236
"May 27, 2025",0.232
"May 27, 2025",0.233
"Jun 1, 2025",0.234
"Jun 6, 2025",0.219
"Jun 11, 2025",0.222
"Jun 11, 2025",0.229
"Jun 16, 2025",0.23
"Jun 16, 2025",0.237
"Jun 18, 2025",0.223
"Jun 18, 2025",0.232
"Jun 21, 2025",0.225
"Jul 1, 2025",0.248
"Jul 1, 2025",0.254
"Jul 6, 2025",0.227
"Jul 6, 2025",0.236
"Jul 8, 2025",0.232
"Jul 8, 2025",0.243
"Jul 11, 2025",0.225
"Jul 11, 2025",0.238
"Jul 16, 2025",0.22
"Jul 16, 2025",0.232
"Jul 21, 2025",0.218
"Jul 28, 2025",0.2
"Jul 28, 2025",0.22
"Aug 5, 2025",0.216
"Aug 5, 2025",0.232
"Aug 10, 2025",0.212
"Aug 15, 2025",0.197
"Aug 15, 2025",0.216
"Aug 20, 2025",0.202
"Aug 20, 2025",0.222
"Aug 25, 2025",0.199
"Aug 30, 2025",0.194
"Aug 30, 2025",0.216
"Sep 6, 2025",0.196
"Sep 9, 2025",0.195
"Sep 19, 2025",0.186
"Sep 24, 2025",0.181
"Sep 29, 2025",0.182
"Sep 29, 2025",0.199
"Oct 4, 2025",0.176
"Oct 4, 2025",0.193
"Oct 6, 2025",0.179
"Oct 9, 2025",0.174
"Oct 9, 2025",0.193
"Oct 14, 2025",0.181
"Oct 14, 2025",0.195
"Oct 19, 2025",0.185
"Oct 19, 2025",0.2
"Oct 24, 2025",0.191
"Oct 26, 2025",0.177
"Oct 26, 2025",0.192
"Oct 29, 2025",0.185
"Oct 29, 2025",0.199
"Nov 3, 2025",0.189
"Nov 3, 2025",0.2
"Nov 15, 2025",0.196
"Nov 15, 2025",0.206
"Nov 18, 2025",0.196
"Nov 18, 2025",0.204
"Nov 23, 2025",0.205
"Nov 23, 2025",0.21
"Dec 3, 2025",0.212
"Dec 3, 2025",0.214
"Dec 8, 2025",0.221
"Dec 8, 2025",0.217
"Dec 13, 2025",0.222
"Dec 13, 2025",0.221
"Dec 18, 2025",0.229
"Dec 18, 2025",0.219
"Dec 23, 2025",0.234
"Dec 23, 2025",0.227
"Dec 25, 2025",0.221
"Dec 28, 2025",0.217
"Jan 2, 2026",0.235
"Jan 7, 2026",0.242
"Jan 7, 2026",0.227
"Jan 12, 2026",0.246
"Jan 12, 2026",0.237
"Jan 17, 2026",0.242
"Jan 27, 2026",0.264
"Jan 27, 2026",0.246
"Feb 1, 2026",0.25
